customer_id,name,age,gender,income,account_balance,account_type,risk_score,location_lat,location_lng,churn_flag
CUST032,Francisco Herrera,29,M,41000,9800.25,Savings,0.39,14.6723,121.0489,0
CUST033,Adriana Silva,45,F,73000,43000.50,Premium,0.15,14.5612,121.0178,1
CUST034,Rodrigo Martinez,37,M,59000,26500.75,Checking,0.23,14.6234,120.9923,0
CUST035,Valeria Gonzalez,26,F,40000,8200.25,Savings,0.44,14.5789,121.0456,0
CUST036,Esteban Ramirez,50,M,87000,62000.50,Premium,0.07,14.6445,121.0034,0
CUST037,Catalina Jimenez,32,F,50000,17800.75,Checking,0.27,14.5856,121.0267,0
CUST038,Maximiliano Torres,43,M,70000,39500.25,Premium,0.16,14.6378,120.9978,0
CUST039,Esperanza Lopez,35,F,53000,19200.50,Checking,0.26,14.5723,121.0334,1
CUST040,Ignacio Vargas,41,M,66000,33000.75,Checking,0.18,14.6156,121.0123,0
CUST041,Pilar Mendoza,28,F,43000,11200.25,Savings,0.37,14.5845,121.0445,0
CUST042,Octavio Flores,54,M,91000,71000.50,Premium,0.06,14.6467,120.9812,0
CUST043,Remedios Castro,30,F,47000,15100.75,Savings,0.33,14.5778,121.0378,0
CUST044,Aurelio Ramos,46,M,75000,47500.25,Premium,0.12,14.6289,121.0056,1
CUST045,Concepcion Ortega,34,F,52000,18600.50,Checking,0.25,14.5667,121.0289,0
CUST046,Leopoldo Moreno,39,M,62000,28800.75,Checking,0.20,14.6089,121.0167,0
CUST047,Amparo Gutierrez,27,F,42000,10400.25,Savings,0.40,14.5812,121.0423,0
CUST048,Teodoro Aguilar,49,M,79000,52000.50,Premium,0.11,14.6334,120.9889,0
CUST049,Soledad Mendez,31,F,48000,16200.75,Checking,0.29,14.5734,121.0312,1
CUST050,Casimiro Romero,55,M,93000,73500.25,Premium,0.05,14.6423,121.0023,0
CUST051,Milagros Peña,29,F,45000,12800.50,Savings,0.35,14.5889,121.0367,0
CUST052,Florencio Vega,42,M,68000,36200.75,Checking,0.17,14.6178,120.9934,0
CUST053,Encarnacion Soto,36,F,55000,20400.25,Checking,0.24,14.5723,121.0245,0
CUST054,Primitivo Guerrero,47,M,77000,49800.50,Premium,0.13,14.6356,121.0078,1
CUST055,Purificacion Campos,33,F,51000,17600.75,Checking,0.26,14.5845,121.0334,0
CUST056,Hermenegildo Navarro,40,M,65000,32500.25,Checking,0.19,14.6123,121.0189,0
CUST057,Inmaculada Santos,25,F,38000,7800.50,Savings,0.46,14.5756,121.0456,0
CUST058,Policarpo Cruz,51,M,85000,59500.75,Premium,0.09,14.6401,120.9845,0
CUST059,Asuncion Rodriguez,32,F,49000,16600.25,Savings,0.31,14.5678,121.0378,1
CUST060,Saturnino Mendoza,44,M,72000,41200.50,Premium,0.15,14.6245,121.0012,0
CUST061,Presentacion Garcia,28,F,44000,11800.75,Savings,0.36,14.5812,121.0423,0
CUST062,Anacleto Silva,48,M,76000,48600.25,Premium,0.12,14.6378,120.9967,0
CUST063,Visitacion Lopez,35,F,53000,19400.50,Checking,0.25,14.5734,121.0289,0
CUST064,Epifanio Torres,41,M,67000,34800.75,Checking,0.18,14.6167,121.0134,1
CUST065,Consolacion Reyes,30,F,46000,14200.25,Savings,0.32,14.5889,121.0345,0
CUST066,Telesforo Morales,52,M,88000,64500.50,Premium,0.08,14.6434,121.0034,0
CUST067,Remedios Vargas,34,F,52000,18800.75,Checking,0.24,14.5723,121.0267,0
CUST068,Abundio Cruz,45,M,74000,44200.25,Premium,0.14,14.6289,121.0067,0
CUST069,Perpetua Jimenez,31,F,48000,15800.50,Checking,0.28,14.5667,121.0312,1
CUST070,Nemesio Herrera,56,M,94000,75200.75,Premium,0.04,14.6456,120.9823,0
CUST071,Escolastica Ruiz,26,F,41000,9600.25,Savings,0.41,14.5778,121.0445,0
CUST072,Pancracio Flores,43,M,69000,37800.50,Checking,0.17,14.6201,120.9923,0
CUST073,Filomena Castro,37,F,56000,22200.75,Checking,0.23,14.5845,121.0234,0
CUST074,Evaristo Ramos,49,M,80000,53600.25,Premium,0.10,14.6367,121.0045,1
CUST075,Genoveva Ortega,33,F,50000,17400.50,Checking,0.27,14.5689,121.0323,0
CUST076,Apolinar Moreno,38,M,63000,30200.75,Checking,0.20,14.6134,121.0178,0
CUST077,Basilisa Gutierrez,29,F,45000,13400.25,Savings,0.34,14.5823,121.0389,0
CUST078,Crescencio Aguilar,50,M,83000,57800.50,Premium,0.09,14.6412,120.9856,0
CUST079,Domitila Mendez,32,F,49000,16800.75,Checking,0.29,14.5712,121.0301,1
CUST080,Eutiquio Romero,53,M,90000,69400.25,Premium,0.06,14.6445,121.0023,0
CUST081,Faustina Peña,27,F,42000,10600.50,Savings,0.38,14.5789,121.0412,0
CUST082,Herminio Vega,44,M,71000,40600.75,Premium,0.15,14.6223,120.9945,0
CUST083,Jacinta Soto,35,F,54000,20600.25,Checking,0.24,14.5756,121.0256,0
CUST084,Leoncio Guerrero,46,M,75000,47200.50,Premium,0.13,14.6345,121.0078,1
CUST085,Modesta Campos,31,F,47000,15400.75,Savings,0.30,14.5678,121.0334,0
CUST086,Olegario Navarro,41,M,66000,33800.25,Checking,0.18,14.6156,121.0167,0
CUST087,Petronila Santos,28,F,43000,11600.50,Savings,0.37,14.5834,121.0445,0
CUST088,Remigio Cruz,47,M,77000,50400.75,Premium,0.12,14.6389,120.9878,0
CUST089,Sinforosa Rodriguez,34,F,51000,18200.25,Checking,0.26,14.5723,121.0289,1
CUST090,Tiburcio Mendoza,48,M,78000,51800.50,Premium,0.11,14.6367,121.0056,0
CUST091,Ubaldina Garcia,30,F,46000,14800.75,Savings,0.32,14.5867,121.0356,0
CUST092,Venancio Silva,52,M,86000,61200.25,Premium,0.08,14.6423,120.9834,0
CUST093,Xenia Lopez,33,F,50000,17800.50,Checking,0.27,14.5712,121.0278,0
CUST094,Zacarias Torres,45,M,73000,43800.75,Premium,0.14,14.6278,121.0045,1
CUST095,Abundancia Reyes,29,F,44000,12600.25,Savings,0.35,14.5845,121.0378,0
CUST096,Benigno Morales,51,M,84000,58400.50,Premium,0.09,14.6401,120.9867,0
CUST097,Clementina Vargas,36,F,55000,21400.75,Checking,0.23,14.5778,121.0245,0
CUST098,Demetrio Cruz,43,M,70000,39800.25,Premium,0.16,14.6234,121.0012,1
CUST099,Epifania Jimenez,32,F,48000,16400.50,Checking,0.28,14.5689,121.0323,0
CUST100,Filiberto Herrera,54,M,92000,72600.75,Premium,0.05,14.6456,121.0034,0
